X	Y	Z
-2.1211	-9.895	0.02273
-1.1151	-10.259	0.025232
-0.077655	-10.527	0.028409
0.98119	-10.694	0.032504
2.0511	-10.757	0.03788
3.1214	-10.713	0.045086
4.1811	-10.561	0.054984
5.2188	-10.3	0.068961
6.2233	-9.9296	0.089321
7.183	-9.4528	0.12
8.0859	-8.8723	0.16792
8.9196	-8.1922	0.24562
9.6703	-7.4182	0.37635
10.322	-6.5576	0.60392
10.853	-5.6196	1.0114
11.23	-4.6165	1.754
11.403	-3.5646	3.108
11.286	-2.4878	5.5067
10.749	-1.4209	9.4355
9.6325	-0.41457	14.888
7.856	0.46588	20.318
5.5899	1.1571	22.585
3.2881	1.6273	19.89
1.3971	1.8926	14.166
0.073696	2.0007	8.5991
-0.7765	2.0024	4.6985
-1.3171	1.9351	2.4072
-1.6778	1.8218	1.1882
-1.9371	1.6754	0.57652
-2.1371	1.5031	0.28086
-2.298	1.3092	0.14158
-2.4289	1.0967	0.077201
-2.5333	0.86807	0.047844
-2.6121	0.62554	0.034575
-2.6652	0.37144	0.028604
-2.6919	0.10817	0.025925
-2.6918	-0.16177	0.024739
-2.6644	-0.43578	0.024249
-2.6095	-0.71118	0.024106
-2.5271	-0.9852	0.024158
-2.4174	-1.2551	0.024343
-2.2812	-1.518	0.024633
-2.1191	-1.7711	0.025021
-1.9324	-2.0117	0.025506
-1.7224	-2.2372	0.02609
-1.4907	-2.4448	0.026779
-1.2394	-2.6323	0.027581
-0.97056	-2.7973	0.028504
-0.6865	-2.9376	0.029558
-0.38983	-3.0515	0.030754
-0.083301	-3.1371	0.032105
0.23018	-3.1932	0.033624
0.54758	-3.2185	0.035327
0.86576	-3.2122	0.037227
1.1815	-3.1737	0.03934
1.4915	-3.1028	0.04168
1.7926	-2.9996	0.044262
